Main,,,,Estado,,,,,Estado AMD,,Media de los flujos (kg/min),,,,Sangre (ppm),,,,Conductividad (mS / cm),,,,Misc,,,,Flujos máximos (kg/min),,,,Producciones (kg),,,
Hora de inicio,Acción,Duración (mm:ss),Producción (kg),Número de ordeño,RCS (* 1000 células / ml),Patada,Incompleto,Pezones no encontrados,Ubre,Pezón,DI,DD,TI,TD,DI,DD,TI,TD,DI,DD,TI,TD,EO/PO,Usuario,Destino Leche,Razón de la desviación,DI,DD,TI,TD,DI,DD,TI,TD
28/01/2025 08:03 a. m.,Ordeño,06:43,16.64,1,,,,,1,,1.14,1.14,1.14,1.02,2216,390,363,0,5.16,5.09,5.22,5.57,VMS 3,,Divert 3,,1.80,1.62,1.74,1.44,3.55,4.02,4.39,4.68
28/01/2025 11:48 p. m.,Ordeño,08:13,20.82,2,,,,,1,,1.32,1.20,1.26,2.88,864,0,0,0,5.06,4.93,4.83,5.41,VMS 3,,Divert 3,,2.10,1.68,1.74,4.98,3.23,3.57,4.36,9.66
29/01/2025 09:35 p. m.,Ordeño,09:08,20.27,1,,,,,1,,1.38,1.08,1.14,0.90,0,0,0,0,5.66,5.30,5.13,5.02,VMS 3,,Tanque,,1.86,1.56,1.44,1.38,4.61,5.01,5.17,5.48
31/01/2025 03:50 p. m.,Ordeño,06:53,17.91,2,,,,,1,,1.50,1.44,1.32,1.20,0,0,0,0,4.84,4.78,4.49,4.44,VMS 3,,Tanque,,2.04,1.86,1.74,1.68,4.12,4.23,4.65,4.91
01/02/2025 09:39 p. m.,Ordeño,08:38,22.83,1,,,,,1,"DI,DD,TD",1.44,1.32,1.50,1.20,450,0,0,0,8.11,7.26,5.95,8.04,VMS 3,,Tanque,,1.86,1.80,2.10,1.68,5.28,5.15,5.91,6.49
11/02/2025 11:10 p. m.,Ordeño,06:50,19.73,2,,,,,1,"DI,TD",1.44,1.32,1.44,1.08,0,0,0,0,7.77,6.57,6.71,7.57,VMS 3,,Tanque,,1.92,1.74,1.80,1.44,4.70,4.80,5.13,5.10
17/02/2025 11:51 a. m.,Ordeño,07:13,22.01,1,,,,,1,"DI,TD",1.56,1.44,1.56,1.20,0,0,0,0,8.38,6.88,6.67,8.31,VMS 3,,Tanque,,2.04,1.92,2.22,1.62,5.19,5.40,5.47,5.95
02/03/2025 02:35 p. m.,Ordeño,11:22,24.35,1,,,,,1,,1.20,1.32,1.20,0.78,0,0,0,0,5.64,5.71,5.69,5.73,VMS 3,,Tanque,,1.68,1.68,1.62,1.20,6.23,6.03,6.17,5.92
13/03/2025 02:51 a. m.,Ordeño,08:04,17.47,1,,,TI,,1,,1.14,1.26,1.08,0.96,0,0,0,0,4.96,4.90,4.77,5.00,VMS 2,,Tanque,,2.04,1.80,1.50,1.68,3.83,5.95,2.58,5.11
06/04/2025 04:39 p. m.,Ordeño,10:37,22.53,1,,,,,1,,1.26,1.44,1.20,0.96,0,0,0,0,5.43,5.53,5.34,5.67,VMS 2,,Tanque,,1.74,1.98,1.68,1.56,5.36,5.55,5.61,6.01
18/06/2025 07:56 p. m.,Ordeño,06:03,13.60,3,,,,,1,DI,1.38,1.32,1.38,1.14,0,0,0,0,5.32,4.68,4.59,4.64,VMS 2,,Tanque,,2.10,1.92,1.80,1.56,2.46,3.60,3.67,3.87
19/06/2025 06:40 a. m.,Ordeño,06:50,16.77,1,,,,,1,DI,1.50,1.32,1.44,1.20,0,0,0,0,5.53,4.78,4.54,4.84,VMS 2,,Tanque,,2.16,1.92,1.74,1.74,3.10,4.35,4.36,4.96
19/06/2025 05:46 p. m.,Ordeño,07:02,17.11,2,,,,,1,DI,1.56,1.32,1.44,1.26,0,0,0,0,5.59,4.65,4.50,4.62,VMS 2,,Tanque,,2.10,1.80,1.98,1.86,3.24,4.45,4.58,4.84
20/06/2025 02:32 a. m.,Ordeño,07:42,13.18,1,,,,,1,DI,1.38,1.50,1.38,1.20,0,0,0,0,6.19,5.00,4.73,5.04,VMS 2,,Tanque,,1.92,2.10,1.80,1.86,2.32,3.31,3.57,3.98
20/06/2025 11:16 a. m.,Ordeño,06:42,10.47,2,,,,,1,DI,1.38,1.20,1.20,0.96,0,0,0,0,5.93,4.48,4.61,4.41,VMS 2,,Tanque,,2.10,1.68,1.62,1.50,1.77,2.81,2.95,2.94
20/06/2025 06:53 p. m.,Ordeño,05:51,9.59,3,,,,,1,DI,1.26,1.26,1.20,1.02,0,0,0,0,5.78,4.41,4.48,4.50,VMS 2,,Tanque,,1.86,1.74,1.56,1.44,1.42,2.65,2.72,2.80
21/06/2025 03:56 a. m.,Ordeño,06:58,13.07,1,,,,,1,DI,1.26,1.38,1.32,1.20,0,0,0,0,6.07,4.80,4.67,4.69,VMS 2,,Tanque,,1.92,2.10,1.80,1.74,1.96,3.58,3.54,3.99
21/06/2025 11:55 a. m.,Ordeño,05:53,10.50,2,,,,,1,DI,1.26,1.20,1.26,1.08,0,0,0,0,6.20,4.67,4.53,4.56,VMS 2,,Tanque,,1.80,1.68,1.62,1.56,1.77,2.72,2.95,3.06
21/06/2025 06:39 p. m.,Ordeño,06:53,9.63,3,,,,,1,DI,1.38,1.20,1.26,0.96,0,0,0,0,6.20,4.53,4.54,4.49,VMS 2,,Tanque,,1.92,1.74,1.62,1.44,1.85,2.64,2.65,2.49
22/06/2025 03:25 a. m.,Ordeño,05:53,13.49,1,,,,,1,DI,1.26,1.56,1.38,1.26,0,0,0,0,6.05,4.89,4.61,4.82,VMS 2,,Tanque,,1.68,2.16,1.80,1.98,2.72,3.34,3.58,3.85
22/06/2025 01:49 p. m.,Ordeño,05:32,13.88,2,,"TI,TD",,,1,DI,1.38,1.32,1.44,1.20,0,0,0,0,6.40,4.81,4.66,4.76,VMS 2,,Tanque,,1.92,2.10,2.16,1.62,3.06,3.45,3.68,3.69
22/06/2025 10:46 p. m.,Ordeño,05:47,12.10,3,,,,,1,DI,1.32,1.38,1.26,1.14,0,0,0,0,5.88,4.69,4.53,4.53,VMS 2,,Tanque,,1.98,1.92,1.74,1.56,2.63,2.94,3.06,3.47
23/06/2025 06:47 a. m.,Ordeño,05:44,13.14,1,,,,,1,DI,1.50,1.44,1.38,1.20,0,0,0,0,6.27,5.08,4.86,5.16,VMS 2,,Tanque,,1.98,1.92,1.80,1.74,2.57,3.29,3.36,3.92
23/06/2025 02:50 p. m.,Ordeño,05:53,12.70,2,,,,,1,DI,1.56,1.32,1.38,1.08,0,0,0,0,6.00,5.10,4.93,5.07,VMS 2,,Tanque,,2.16,1.80,1.86,1.56,2.55,3.15,3.36,3.64
24/06/2025 03:06 a. m.,Ordeño,06:54,18.53,1,,,,,1,,1.68,1.38,1.50,1.14,0,0,0,0,5.73,5.07,4.94,5.10,VMS 2,,Tanque,,2.28,1.86,1.92,1.74,3.71,4.86,4.76,5.20
24/06/2025 09:03 a. m.,Ordeño,04:57,7.39,2,,,,,1,DI,1.50,1.20,1.32,0.84,0,0,0,0,5.53,4.69,4.67,4.54,VMS 2,,Tanque,,2.04,1.80,1.74,1.32,1.69,1.88,1.93,1.89
